Nomor Registrasi,Nama Produk,Komposisi,Bentuk Sediaan,Kemasan,Pendaftar,Perusahaan,Negara_Asal,Tanggal Terbit,Masa Berlaku s/d,Status,Kategori_Obat,Golongan_Obat,Asal_Obat,Jumlah_Zat_Aktif,Durasi_Registrasi_Tahun,Sudah_Kedaluwarsa,Sisa_Hari_Berlaku,List_Zat_Aktif,Jumlah_Varian_Kemasan,Komposisi_Normalized
GKL1412427843A1,131I-MIBG,METAIODOBENZYLGUANIDINE HEMYSULFATE. SODIUM IODIDE I 131 SOLUTION,CAIRAN INJEKSI; 2 MG /10-20 MCI,"DUS, @ 1 VIAL",KIMIA FARMA Tbk. - Indonesia,KIMIA FARMA Tbk.,Indonesia,2019-11-29,2024-11-29,Berlaku,Obat Generik Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,True,-553,['METAIODOBENZYLGUANIDINE HEMYSULFATE. SODIUM IODIDE I 131 SOLUTION'],1,METAIODOBENZYLGUANIDINE HEMYSULFATE. SODIUM IODIDE I 131 SOLUTION
GKL1612428843A1,153SM-EDTMP,SAMARIUM (III) CHLORIDE. ETHYLENE DIAMINE TETRA METHYL PHOSPHONATE,LARUTAN INJEKSI; 300-900 MCI /300 MG,DUS @ 1 VIAL,KIMIA FARMA Tbk. - Indonesia,KIMIA FARMA Tbk.,Indonesia,2021-04-22,2026-04-22,Berlaku,Obat Generik Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,True,-44,['SAMARIUM (III) CHLORIDE. ETHYLENE DIAMINE TETRA METHYL PHOSPHONATE'],1,SAMARIUM III CHLORIDE. ETHYLENE DIAMINE TETRA METHYL PHOSPHONATE
DKI1733900317A1,3TC-HBV,LAMIVUDINE,TABLET SALUT SELAPUT; 100 MG,"DUS, 2 BLISTER @ 14 TABLET SALUT SELAPUT",GLAXO WELLCOME INDONESIA - Indonesia,GLAXO WELLCOME INDONESIA,Indonesia,2023-07-07,2028-07-07,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,763,['LAMIVUDINE'],1,LAMIVUDINE
GKL2012431917A1,ABACAVIR SULFATE,ABACAVIR SULFATE,TABLET SALUT SELAPUT,"DUS, 1 BOTOL PLASTIK @ 60 TABLET SALUT SELAPUT",KIMIA FARMA Tbk. - Indonesia,KIMIA FARMA Tbk.,Indonesia,2025-10-20,2030-10-20,Berlaku,Obat Generik Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1598,['ABACAVIR SULFATE'],1,ABACAVIR SULFATE
DBL9818209901A1,ABAJOS,PARACETAMOL. THIAMINE HYDROCHLORIDE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,KAPSUL; 500 MG /50 MG /100 MG /0.1 MG,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPSUL",NUFARINDO - Indonesia,NUFARINDO,Indonesia,2021-09-20,2026-09-06,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,93,['PARACETAMOL. THIAMINE HYDROCHLORIDE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN'],1,PARACETAMOL. THIAMINE HYDROCHLORIDE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN
DKI2118603810A1,ABIRONE,ABIRATERONE ACETATE,TABLET,"DUS, 1 BOTOL PLASTIK @ 120 TABLET",AMAROX PHARMA GLOBAL - Indonesia,AMAROX PHARMA GLOBAL,Indonesia,2026-03-16,2031-03-16,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1745,['ABIRATERONE ACETATE'],1,ABIRATERONE ACETATE
DKI2486102344A1,ABRYSVO,RSV SUBGROUP A STABILISED PREFUSION F ANTIGEN | RSV SUBGROUP B STABILISED PREFUSION F ANTIGEN,SERBUK INJEKSI + PELARUT,"DUS, 1 VIAL 120 MCG + 1 PRE-FILLED SYRINGE 0.5 ML + 1 VIAL ADAPTOR + 1 NEEDLE ;; DUS, 5 VIAL 120 MCG + 5 PRE-FILLED SYRINGE 0.5 ML + 5 VIAL ADAPTOR + 5 NEEDLE",PFIZER INDONESIA - Indonesia,PFIZER INDONESIA,Indonesia,2025-10-02,2029-12-09,Berlaku,Obat Keras - Impor,Obat Keras,Impor,2,4.2,False,1283,"['RSV SUBGROUP A STABILISED PREFUSION F ANTIGEN', 'RSV SUBGROUP B STABILISED PREFUSION F ANTIGEN']",2,RSV SUBGROUP A STABILISED PREFUSION F ANTIGEN | RSV SUBGROUP B STABILISED PREFUSION F ANTIGEN
DKL2041700949A1,ACETAR-MJB,SODIUM CHLORIDE. POTASSIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. SODIUM ACETATE TRIHYDRATE,"INFUS; 3 G /0,15 G /0,10 G /1,90 G",BOTOL PLASTIK @ 500 ML ;; 1 BOTOL PLASTIK @ 500 ML,EMJEBE PHARMA - Indonesia,EMJEBE PHARMA,Indonesia,2022-11-13,2027-11-13,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,526,['SODIUM CHLORIDE. POTASSIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. SODIUM ACETATE TRIHYDRATE'],2,SODIUM CHLORIDE. POTASSIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. SODIUM ACETATE TRIHYDRATE
DBL7817604533A1,ACITRAL,SIMETHICONE. ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE,SUSPENSI; 80 MG /200 MG,"DUS, 1 BOTOL @ 120 ML",INTERBAT - Indonesia,INTERBAT,Indonesia,2023-10-21,2028-10-21,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,869,['SIMETHICONE. ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE'],1,SIMETHICONE. ALUMINIUM HYDROXIDE GEL. MAGNESIUM HYDROXIDE
DKL2517635429A1,ACNEDINE,NADIFLOXACIN,KRIM,"DUS, 1 TUBE @ 10 GRAM",INTERBAT - Indonesia,INTERBAT,Indonesia,2025-12-22,2030-12-22,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1661,['NADIFLOXACIN'],1,NADIFLOXACIN
DKI1031700749A1,ACTABONE,CLODRONATE DISODIUM TETRAHYDRATE,LARUTAN KONSENTRAT UNTUK INFUS; 75 MG,"DUS, 1 VIAL @ 5 ML",ACTAVIS INDONESIA - Indonesia,ACTAVIS INDONESIA,Indonesia,2020-02-04,2025-02-04,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,True,-486,['CLODRONATE DISODIUM TETRAHYDRATE'],1,CLODRONATE DISODIUM TETRAHYDRATE
DBL2232210210A1,ACTAL,KOMBINASI-DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND,TABLET; 360 MG,"DUS, 2 BLISTER @ 10 TABLET ;; DUS, 12 BLISTER @ 10 TABLET",MENARINI INDRIA LABORATORIES - Indonesia,MENARINI INDRIA LABORATORIES,Indonesia,2022-05-12,2027-05-12,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,341,['DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND'],2,DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND
DBL2232210310A1,ACTAL PLUS,SIMETHICONE. MAGNESIUM HYDROXIDE. KOMBINASI-DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND,TABLET; 25 MG /152 MG /333 MG,"DUS, 2 BLISTER @ 10 TABLET ;; DUS, 12 BLISTER @ 10 TABLET",MENARINI INDRIA LABORATORIES - Indonesia,MENARINI INDRIA LABORATORIES,Indonesia,2022-05-12,2027-05-12,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,False,341,['SIMETHICONE. MAGNESIUM HYDROXIDE. KOMBINASI-DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND'],2,SIMETHICONE. MAGNESIUM HYDROXIDE. KOMBINASI-DRIED ALUMINUM HYDROXIDE. SORBITOL BLEND
DKI2157509549A1,ACTEMRA,TOCILIZUMAB,LARUTAN KONSENTRAT UNTUK INFUS; 20 MG,"DUS, 1 VIAL @ 200 MG (10 ML) ;; DUS, 1 VIAL @ 80 MG (4 ML) ;; DUS, 1 VIAL @ 400 MG (20 ML)",MENARINI INDRIA LABORATORIES - Indonesia,MENARINI INDRIA LABORATORIES,Indonesia,2022-07-24,2026-12-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,4.4,False,201,['TOCILIZUMAB'],3,TOCILIZUMAB
DTL1624504137A1,ACTIFED PLUS COUGH SUPRESSANT,TRIPROLIDINE HYDROCHLORIDE. PSEUDOEPHEDRINE HYDROCHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE,SIRUP; 1.250 MG /30.00 MG /10.00 MG,"DUS, 1 BOTOL PLASTIK @ 60 ML ;; DUS, BOTOL PLASTIK @ 60 ML",STERLING PRODUCTS INDONESIA - Indonesia,STERLING PRODUCTS INDONESIA,Indonesia,2022-11-16,2026-08-10,Berlaku,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,Lokal/Lainnya,1,3.7,False,66,['TRIPROLIDINE HYDROCHLORIDE. PSEUDOEPHEDRINE HYDROCHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE'],2,TRIPROLIDINE HYDROCHLORIDE. PSEUDOEPHEDRINE HYDROCHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE
DKI2452504344A1,ACTILYSE,ALTEPLASE,SERBUK INJEKSI + PELARUT; 50 MG,"DUS, 1 VIAL @ 50 MG + 1 VIAL PELARUT @ 50 ML + 1 CANNULA TRANSFER",TUNGGAL IDAMAN ABDI - Indonesia,TUNGGAL IDAMAN ABDI,Indonesia,2024-08-16,2029-08-16,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1168,['ALTEPLASE'],1,ALTEPLASE
DKI2153900417A1,ACTONEL ONCE-A-WEEK,RISEDRONATE SODIUM,TABLET SALUT SELAPUT,"DUS, 1 BLISTER @ 4 TABLET SALUT SELAPUT",PYRIDAM FARMA TBK - Indonesia,PYRIDAM FARMA TBK,Indonesia,2026-03-31,2031-03-28,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1757,['RISEDRONATE SODIUM'],1,RISEDRONATE SODIUM
DKI1742000543A1,ACTRAPID HM PENFILL,INSULIN HUMAN,CAIRAN INJEKSI; 100 IU/ML,"DUS, 5 CARTRIDGE @ 3 ML",BETA PHARMACON - Indonesia,BETA PHARMACON,Indonesia,2019-05-23,2024-05-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,True,-743,['INSULIN HUMAN'],1,INSULIN HUMAN
DKI2571100143A1,ADAFIMAB,ADALIMUMAB,INJEKSI,"DUS, 1 PRE-FILLED SYRINGE @ 0,8 ML",INFION - Indonesia,INFION,Indonesia,2025-12-30,2030-12-30,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1669,['ADALIMUMAB'],1,ADALIMUMAB
DKI2186002343A1,AERINEX,ERENUMAB,INJEKSI; 70 MG,"DUS, 1 PRE-FILLED SYRINGE @1 ML",NOVARTIS INDONESIA - Indonesia,NOVARTIS INDONESIA,Indonesia,2021-06-19,2026-06-19,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,14,['ERENUMAB'],1,ERENUMAB
DKI0987101714A1,AERIUS D-12,PSEUDOEPHEDRINE SULFATE. DESLORATADINE,TABLET PELEPASAN LAMBAT,"DUS, 2 BLISTER @ 5 TABLET PELEPASAN LAMBAT",ORGANON PHARMA INDONESIA TBK - Indonesia,ORGANON PHARMA INDONESIA TBK,Indonesia,2024-06-17,2029-06-17,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,5.0,False,1108,[],1,PSEUDOEPHEDRINE SULFATE. DESLORATADINE
DKI2570800339A1,AEROBIDOL,FENOTEROL HYDROBROMIDE | IPRATROPIUM BROMIDE MONOHYDRATE,AEROSOL,"DUS, 1 CANISTER @ 200 DOSIS + FOLDHALER",TEMPO SCAN PACIFIC Tbk - Indonesia,TEMPO SCAN PACIFIC Tbk,Indonesia,2025-11-21,2030-11-21,Berlaku,Obat Keras - Impor,Obat Keras,Impor,2,5.0,False,1630,"['FENOTEROL HYDROBROMIDE', 'IPRATROPIUM BROMIDE MONOHYDRATE']",1,FENOTEROL HYDROBROMIDE | IPRATROPIUM BROMIDE MONOHYDRATE
DKI2418605517A1,AFATIN,AFATINIB DIMALEATE,TABLET SALUT SELAPUT,"DUS, 4 POUCH @ 1 BLISTER @ 7 TABLET SALUT SELAPUT",AMAROX PHARMA GLOBAL - Indonesia,AMAROX PHARMA GLOBAL,Indonesia,2024-10-17,2029-10-17,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1230,['AFATINIB DIMALEATE'],1,AFATINIB DIMALEATE
DKI2556300517A1,AFATYK 20,AFATINIB DIMALEATE MONOHYDRATE,TABLET SALUT SELAPUT,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",MEGA LIFESCIENCES INDONESIA - Indonesia,MEGA LIFESCIENCES INDONESIA,Indonesia,2025-10-11,2030-10-11,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1589,['AFATINIB DIMALEATE MONOHYDRATE'],1,AFATINIB DIMALEATE MONOHYDRATE
DKL2028406649A1,AHEP,METHIONINE. PHENYLALANINE. THREONINE. VALINE. ARGININE. ORNITHINE ASPARTATE. ALANINE. ACETYLCYSTEINE. GLYCINE. PROLINE. SERINE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAGNESIUM CHLORIDE HEXAHYDRATE. POTASSIUM CHLORIDE. TRYPTOPHAN. SORBITOL. HISTIDINE. GLUTAMIC,INFUS; 0.250 G /0.125 g /0.600 g /3.200 g /2.450 g /4.015 G /1.050 g /0.100 G /0.350 G /0.600 g /1.375 g /2,"DUS, 1 BOTOL @ 500 ML",FINUSOLPRIMA FARMA INTERNASIONAL - Indonesia,FINUSOLPRIMA FARMA INTERNASIONAL,Indonesia,2020-05-28,2025-05-28,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,True,-373,['METHIONINE. PHENYLALANINE. THREONINE. VALINE. ARGININE. ORNITHINE ASPARTATE. ALANINE. ACETYLCYSTEINE. GLYCINE. PROLINE. SERINE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAGNESIUM CHLORIDE HEXAHYDRATE. POTASSIUM CHLORIDE. TRYPTOPHAN. SORBITOL. HISTIDINE. GLUTAMIC'],1,METHIONINE. PHENYLALANINE. THREONINE. VALINE. ARGININE. ORNITHINE ASPARTATE. ALANINE. ACETYLCYSTEINE. GLYCINE. PROLINE. SERINE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAGNESIUM CHLORIDE HEXAHYDRATE. POTASSIUM CHLORIDE. TRYPTOPHAN. SORBITOL. HISTIDINE. GLUTAMIC
DKL2028406649A2,AHEP,SORBITOL. XYLITOL. METHIONINE. ORNITHINE ASPARTATE. ACETYLCYSTEINE. GLYCINE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAGNESIUM CHLORIDE HEXAHYDRATE. POTASSIUM CHLORIDE. TRYPTOPHAN. LYSINE MALATE. ISOLEUCINE. LEUCINE. PHENYLALANINE. THREONINE. VALINE. L-ARGININE,"INFUS; 12,500 G /12,500 G /0,250 G /4,015 G /0,100 G /0,350 G /2,296 G /0,509 G /0,671 G /0,050 G /3,930 g",FLEXIBAG @ 500 ML (WITH OVERWRAP),FINUSOLPRIMA FARMA INTERNASIONAL - Indonesia,FINUSOLPRIMA FARMA INTERNASIONAL,Indonesia,2022-03-04,2027-03-04,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,272,['SORBITOL. XYLITOL. METHIONINE. ORNITHINE ASPARTATE. ACETYLCYSTEINE. GLYCINE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAGNESIUM CHLORIDE HEXAHYDRATE. POTASSIUM CHLORIDE. TRYPTOPHAN. LYSINE MALATE. ISOLEUCINE. LEUCINE. PHENYLALANINE. THREONINE. VALINE. L-ARGININE'],1,SORBITOL. XYLITOL. METHIONINE. ORNITHINE ASPARTATE. ACETYLCYSTEINE. GLYCINE. SODIUM GLYCEROPHOSPHATE HYDRATED. MAGNESIUM CHLORIDE HEXAHYDRATE. POTASSIUM CHLORIDE. TRYPTOPHAN. LYSINE MALATE. ISOLEUCINE. LEUCINE. PHENYLALANINE. THREONINE. VALINE. L-ARGININE
DTL2022304046A1,AITO,TETRAHYDROZOLINE HYDROCHLORIDE,TETES MATA,"DUS, 1 BOTOL PLASTIK @ 11 ML ;; DUS, 1 BOTOL @ 11 ML",SANDAI FARMA - Indonesia,SANDAI FARMA,Indonesia,2025-12-01,2030-11-28,Berlaku,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,Lokal/Lainnya,1,5.0,False,1637,['TETRAHYDROZOLINE HYDROCHLORIDE'],2,TETRAHYDROZOLINE HYDROCHLORIDE
DKI1751900401A1,AKYNZEO,NETUPITANT. PALONOSETRON HYDROCHLORIDE,"KAPSUL; 300 MG /0,56 MG","DUS, 1 BLISTER @ 1 KAPSUL",PYRIDAM FARMA TBK - Indonesia,PYRIDAM FARMA TBK,Indonesia,2023-11-13,2028-10-15,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,4.9,False,863,['NETUPITANT. PALONOSETRON HYDROCHLORIDE'],1,NETUPITANT. PALONOSETRON HYDROCHLORIDE
LKE13147017,ALAXAN,PARACETAMOL. IBUPROFEN,TABLET; 325 MG /200 MG,"DUS, 50 BLISTER @ 10 TABLET ;; DUS, 10 BLISTER @ 10 TABLET ;; DUS, 1 BLISTER @ 10 TABLET",MEDIFARMA LABORATORIES - Indonesia,MEDIFARMA LABORATORIES,Indonesia,2023-05-15,2028-05-15,Berlaku (Khusus Ekspor),Lisensi - Khusus Ekspor,Khusus Ekspor,Lokal/Lainnya,1,5.0,False,710,['PARACETAMOL. IBUPROFEN'],3,PARACETAMOL. IBUPROFEN
GKL0920936233A1,ALBENDAZOLE,ALBENDAZOLE,SUSPENSI,"DUS, 10 BOTOL @ 10 ML",INDOFARMA - Indonesia,INDOFARMA,Indonesia,2025-12-06,2030-12-06,Berlaku,Obat Generik Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1645,['ALBENDAZOLE'],1,ALBENDAZOLE
DKL2410710846A1,ALBUCID,SULFACETAMIDE SODIUM,TETES MATA; 100 MG,"DUS, 10 POT @ 1 BOTOL PLASTIK @ 5 ML",GLOBAL MULTI PHARMALAB - Indonesia,GLOBAL MULTI PHARMALAB,Indonesia,2024-08-09,2029-08-09,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1161,['SULFACETAMIDE SODIUM'],1,SULFACETAMIDE SODIUM
DKI1509300849A1,ALBUNORM 20%,HUMAN ALBUMIN,INFUS,BOTOL @ 100 ML ;; BOTOL @ 50 ML,HARSEN LABORATORIES - Indonesia,HARSEN LABORATORIES,Indonesia,2026-01-23,2031-01-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1693,['HUMAN ALBUMIN'],2,HUMAN ALBUMIN
DTL0317619237A1,ALCO FLU,BROMPHENIRAMINE MALEATE | PSEUDOEPHEDRINE HYDROCHLORIDE,SIRUP,"DUS, 1 BOTOL @ 100 ML ;; DUS, 1 BOTOL @ 100 ML DILENGKAPI DENGAN SENDOK TAKAR",INTERBAT - Indonesia,INTERBAT,Indonesia,2025-02-23,2030-02-23,Berlaku,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,Lokal/Lainnya,2,5.0,False,1359,"['BROMPHENIRAMINE MALEATE', 'PSEUDOEPHEDRINE HYDROCHLORIDE']",2,BROMPHENIRAMINE MALEATE | PSEUDOEPHEDRINE HYDROCHLORIDE
DTL0317619337A1,ALCO FLU PLUS BATUK,BROMPHENIRAMINE MALEATE | DEXTROMETHORPHAN HYDROBROMIDE | PSEUDOEPHEDRINE HYDROCHLORIDE,SIRUP,"DUS, 1 BOTOL @ 100 ML ;; DUS, 1 BOTOL @ 100 ML DILENGKAPI DENGAN SENDOK TAKAR",INTERBAT - Indonesia,INTERBAT,Indonesia,2025-02-26,2030-02-26,Berlaku,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,Lokal/Lainnya,3,5.0,False,1362,"['BROMPHENIRAMINE MALEATE', 'DEXTROMETHORPHAN HYDROBROMIDE', 'PSEUDOEPHEDRINE HYDROCHLORIDE']",2,BROMPHENIRAMINE MALEATE | DEXTROMETHORPHAN HYDROBROMIDE | PSEUDOEPHEDRINE HYDROCHLORIDE
DKL0522240003A1,ALDISA SR,KOMBINASI-PSEUDOEPHEDRINE SULFATE SUSTAINED RELEASE PELLETS | LORATADINE | PSEUDOEPHEDRINE SULFATE,KAPSUL PELEPASAN LAMBAT,"DUS, 5 STRIP @ 10 KAPSUL PELEPASAN LAMBAT",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2026-04-12,2031-04-12,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,3,5.0,False,1772,"['PSEUDOEPHEDRINE SULFATE SUSTAINED RELEASE PELLETS', 'LORATADINE', 'PSEUDOEPHEDRINE SULFATE']",1,LORATADINE | PSEUDOEPHEDRINE SULFATE | PSEUDOEPHEDRINE SULFATE SUSTAINED RELEASE PELLETS
DKI2157510201A1,ALECENSA,ALECTINIB HYDROCHLORIDE,"KAPSUL; 161,33 MG","DUS, 4 DUS @ 7 BLISTER @ 8 KAPSUL ;; DUS, 7 BLISTER @ 8 KAPSUL",MENARINI INDRIA LABORATORIES - Indonesia,MENARINI INDRIA LABORATORIES,Indonesia,2021-12-23,2026-12-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,201,['ALECTINIB HYDROCHLORIDE'],2,ALECTINIB HYDROCHLORIDE
DKI2167601646A1,ALEGYSAL,PEMIROLAST POTASSIUM,TETES MATA; 1  MG,"DUS, 1 BOTOL PLASTIK @ 5 ML ;; DUS, 50 BOTOL PLASTIK @ 5 ML",MEIJI INDONESIAN PHARMACEUTICAL INDUSTRIES - Indonesia,MEIJI INDONESIAN PHARMACEUTICAL INDUSTRIES,Indonesia,2022-12-06,2027-12-06,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,549,['PEMIROLAST POTASSIUM'],2,PEMIROLAST POTASSIUM
DKL9708007710A1,ALERFED,PSEUDOEPHEDRINE HYDROCHLORIDE. TRIPROLIDINE HYDROCHLORIDE,TABLET,"DUS, 5 STRIP @ 10 TABLET",GUARDIAN PHARMATAMA - Indonesia,GUARDIAN PHARMATAMA,Indonesia,2024-09-04,2029-09-04,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,0,5.0,False,1187,[],1,PSEUDOEPHEDRINE HYDROCHLORIDE. TRIPROLIDINE HYDROCHLORIDE
DKL1222721904A1,ALIF 500,NAPROXEN SODIUM,KAPLET,"DUS, 10 STRIP @ 10 KAPLET",TEMPO SCAN PACIFIC Tbk - Indonesia,TEMPO SCAN PACIFIC Tbk,Indonesia,2026-03-31,2031-03-31,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1760,['NAPROXEN SODIUM'],1,NAPROXEN SODIUM
DKI2588803580A1,ALIMTA,PEMETREXED DISODIUM HEPTAHYDRATE,SERBUK INFUS,"DUS, 1 VIAL @ 100 MG",WIGO HEALTH INDONESIA - Indonesia,WIGO HEALTH INDONESIA,Indonesia,2025-09-19,2030-09-19,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,5.0,False,1567,['PEMETREXED DISODIUM HEPTAHYDRATE'],1,PEMETREXED DISODIUM HEPTAHYDRATE
DTL1504522837A1,ALLERIN EXPECTORANT,PSEUDOEPHEDRINE HYDROCHLORIDE. DIPHENHYDRAMINE HYDROCHLORIDE. SODIUM CITRATE DIHYDRATE. GUAIFENESIN,"SIRUP; 15 MG /12,5 MG /180 MG /50 MG","DUS, 1 BOTOL @ 120 ML ;; DUS, 1 BOTOL @ 60 ML",DARYA-VARIA LABORATORIA TBK - Indonesia,DARYA-VARIA LABORATORIA TBK,Indonesia,2024-08-29,2029-08-29,Berlaku,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,Lokal/Lainnya,1,5.0,False,1181,['PSEUDOEPHEDRINE HYDROCHLORIDE. DIPHENHYDRAMINE HYDROCHLORIDE. SODIUM CITRATE DIHYDRATE. GUAIFENESIN'],2,PSEUDOEPHEDRINE HYDROCHLORIDE. DIPHENHYDRAMINE HYDROCHLORIDE. SODIUM CITRATE DIHYDRATE. GUAIFENESIN
DKL1806318331A1,ALLETROL COMPOSITUM,DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE. POLYMYXIN B SULFATE,"SALEP MATA; 1,316 MG /5,175 MG /6000 IU","DUS, 1 TUBE @ 3,5 G",ERLANGGA EDI LABORATORIES (ERELA) - Indonesia,ERLANGGA EDI LABORATORIES (ERELA),Indonesia,2024-07-01,2028-11-27,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,4.4,False,906,['DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE. POLYMYXIN B SULFATE'],1,DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE. POLYMYXIN B SULFATE
DKL2206309746B1,ALLETROL COMPOSITUM FORTE,POLYMYXIN B SULFATE. DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE,"TETES MATA; 10.000 IU /1,32 MG /5,18 MG","DUS, 1 BOTOL PLASTIK @ 5 ML",ERLANGGA EDI LABORATORIES (ERELA) - Indonesia,ERLANGGA EDI LABORATORIES (ERELA),Indonesia,2022-11-01,2027-11-01,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,514,['POLYMYXIN B SULFATE. DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE'],1,POLYMYXIN B SULFATE. DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE
DBL8821003363A1,ALMACON,DRIED ALUMINIUM HYDROXIDE GEL | MAGNESIUM HYDROXIDE | SIMETHICONE,TABLET KUNYAH,"DUS, 10 AMPLOP @ 1 STRIP @ 10 TABLET KUNYAH ;; DUS, 10 STRIP @ 10 TABLET KUNYAH",PYRIDAM FARMA TBK - Indonesia,PYRIDAM FARMA TBK,Indonesia,2026-04-10,2031-04-10,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,3,5.0,False,1770,"['DRIED ALUMINIUM HYDROXIDE GEL', 'MAGNESIUM HYDROXIDE', 'SIMETHICONE']",2,DRIED ALUMINIUM HYDROXIDE GEL | MAGNESIUM HYDROXIDE | SIMETHICONE
GPL2617636110A1,ALPRAZOLAM,ALPRAZOLAM,TABLET,"DUS, 3 STRIP @ 10 TABLET",INTERBAT - Indonesia,INTERBAT,Indonesia,2026-04-30,2031-04-30,Berlaku,Obat Generik Psikotropika - Lokal,Psikotropika,Lokal/Lainnya,1,5.0,False,1790,['ALPRAZOLAM'],1,ALPRAZOLAM
